corsid,state_name,site_name,site_code
50718A001,Telangana,PENTAVELLY,PNTV
50719A001,Tamilnadu,PERAIYUR,PRRU
50720A001,Tamilnadu,PERAMBALUR,PBLU
50721A001,Rajasthan,PHALODI,PHLD
50722A001,Rajasthan,PHALUSUND,PHAL
50723A001,Uttar pradesh,PHEENA,PHNA
50724A001,Manipur,PHERZAWL,PHER
50725A001,Andaman & Nicobar Islands,PHOENIXBAY,PBAY
50726A001,Nagaland,PHOMCHING,PHOM
50727A001,Uttar pradesh,PHOOLPUR,PHOO
50728A001,Odisha,PHULBANI,PHUL
50729A001,Meghalaya,PHULBARI,PHUB
50730A001,Rajasthan,PHULERA,PHUL
50731A001,Assam,PHULONI,PHLO
50732A001,Bihar,PHULPARAS,PHUP
50733A001,Uttarakhand,PITHORAGARH,PITH
50734A001,Madhya Pradesh,POHARI,POHA
50735A001,Rajasthan,POKHRAN,POKH
50736A001,Kerla,PONNANI,PANI
50737A001,Uttar pradesh,POORANPUR,POOR
50738A001,Madhya Pradesh,PORSA,PORS
50739A001,Madhya Pradesh,PRABHATPATTAN,PRAB
50740A001,Kerla,PUDDUR,PUDD
50741A001,Bihar,PUPRI,PUPR
50742A001,West Bengal,PURULIYA,PURU
50743A001,Tamilnadu,RADHAPURAM,RDHM
50744A001,Telangana,RAGHUNATHPALLY,RGNP
50745A001,Madhya Pradesh,RAHATGARH,RAHA
50746A001,Maharashtra,RAHURI AHMADNGR,RHRI
50747A001,Karnataka,RAICHURU,RCRU
50748A001,West Bengal,RAIGANJ,RAIG
50749A001,Chhattisgarh,RAIGARH,RAIG
50750A001,Chhattisgarh,RAIPUR,RAIP
50751A001,Uttar pradesh,RAJAPUR,RAJA
50752A001,Maharashtra,RAJAPUR RATNAGIR,RARI
50753A001,Telangana,RAJAPURTG,RJTG
50754A001,Rajasthan,RAJASAR,RJSR
50755A001,Odisha,RAJGANGPUR,RAJG
50756A001,Assam,RAJGHAT,RAJG
50757A001,Chhattisgarh,RAJNANDGAON,RAJN
50758A001,Maharashtra,RAJURA,RAJU
50759A001,Tamilnadu,RAMANATHAPURAM,RMND
50760A001,Rajasthan,RAMGANIMANDI,RAMG
50761A001,Assam,RAMKRISHNA,RAMK
50762A001,Uttarakhand,RAMNAGAR,RMNG
50763A001,Himachal Pradesh,RAMPUR,RMPR
50764A001,Uttar pradesh,RAMPURMANIHARAN,RAMP
50765A001,Madhya Pradesh,RAMPURNAIKAN,RMNK
50766A001,Jharkhand,RANCHI,RCHI
50767A001,Karnataka,RANEBENNUR,RBUR
50768A001,Arunanchal Pradesh,RANIKOR,RANK
50769A001,Rajasthan,RANIWAR,RANI
50770A001,Madhya Pradesh,RANNOD,RANN
50771A001,Uttar pradesh,RASRA,RASR
50772A001,Rajasthan,RATANGARH,RTNG
50773A001,Rajasthan,RATASAR,RATA
50774A001,Uttar pradesh,RATH,RATH
50775A001,Madhya Pradesh,RATLAM,RATL
50776A001,Bihar,RATNIFARIDPUR,RATN
50777A001,Rajasthan,RAWATSAR,RAWA
50778A001,Bihar,RAXAUL,RAXA
50779A001,Odisha,RAYAGARH,RARH
50780A001,Telangana,REGONDA,REGO
50781A001,Meghalaya,RESUBELPARA,RESU
50782A001, Haryana,REWARI,REWA
50783A001,Uttar pradesh,ROBERTSGANJ,ROBT
50784A001,Rajasthan,ROHAT,ROHA
50785A001,Arunanchal Pradesh,ROING,ROIN
50786A001,Karnataka,RONA,RONA
50787A001,Uttarakhand,ROORKEE,ROOR
50788A001,Uttarakhand,RUDRAPRAYAG,RUDR
50789A001,Arunanchal Pradesh,RUPA_AR,RUP_
50790A001,Rajasthan,RUPAHELIKALAN,RUPA
50791A001,Maharashtra,SADAK SHENDA,SAEN
50792A001,Rajasthan,SADHANA,SADH
50793A001,Rajasthan,SADOLAI,SADO
50794A001,West Bengal,SAGARISL,SAGA
50795A001,Uttar pradesh,SAGRI,SAGR
50796A001,Rajasthan,SAGWARA,SAGW
50797A001,Maharashtra,SAHAPUR,SAHA
50798A001,West Bengal,SAINTHIA,SAIN
50799A001,Maharashtra,SAKRI,SAKR
50800A001,Tamilnadu,SALEM,SALM
50801A001,Uttar pradesh,SALEMPUR,SALE
50802A001,Rajasthan,SALUMBER,SALU
50803A001,Bihar,SAMASTIPUR,SAMA
50804A001,Rajasthan,SANCHORE,SANC
50805A001,Uttar pradesh,SANDILA,SAND
50806A001,Karnataka,SANDUR,SNDR
50807A001,Mizoram,SANGAU,SANG
50808A001,Maharashtra,SANGMESHWAR,SAWR
50809A001,Ladakh,SANGRAH,SANG
50810A001,Nagaland,SANIS,SANI
50811A001,Gujarat,SANTRAMPUR,SANU
50812A001,Telangana,SARANGPUR,SARN
50813A001,Odisha,SARAT,SARA
50814A001,West Bengal,SARENGA,SARE
50815A001,Assam,SARUPATHAR,SARU
50816A001,Bihar,SASARAM,SASA
50817A001,Maharashtra,SASWAD,SASW
50818A001,Uttarakhand,SATPULI,STPU
50819A001,Madhya Pradesh,SATWAS,SATW
50820A001,Karnataka,SAUDATHI,SDHI
50821A001,Gujarat,SAVARKUNDLA,SDLA
50822A001,Karnataka,SEDAM,SEDM
50823A001,Arunanchal Pradesh,SEIJOSA,SEIJ
50824A001,Manipur,SENAPATI,SENA
50825A001,Tamilnadu,SENTHURAI,SNTR
50826A001,Madhya Pradesh,SEONINAGAR,SEON
50827A001,Chhattisgarh,SEORINARAYAN,SERN
50828A001,Arunanchal Pradesh,SEPPA,SEPA
50829A001,Mizoram,SERCHHIP,SERC
50830A001,Maharashtra,SHAHADA,SHDA
50831A001, Haryana,SHAHBAD,SHAH
50832A001,Andaman & Nicobar Islands,SHAHEED DWEEP,SHAH
50833A001,Madhya Pradesh,SHAHPUR,SHPR
50834A001,Chhattisgarh,SHANKARGARH,SHAN
50835A001,Telangana,SHANTINAGAR,SHNT
50836A001,Karnataka,SHIKARPURA,SPRA
50837A001,Meghalaya,SHILLONG,SHIL
50838A001,Himachal Pradesh,SHIMLA,SHIM
50839A001,Maharashtra,SHIRUR,SHIR
